cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8787,374,Uganda,32,2,3,NULL,NULL,2,Central 1,1,7,Laboratory Technician,10,1,2,NULL,1,2,1,2,6,2,1,6,6,6,5,6,3,6,6,6,6,6,6,6,6,6,7,7,1,2,2,5,1,1
hcw_8788,375,Uganda,31,2,3,NULL,NULL,3,Central 1,1,7,Laboratory Technician,10,1,1,NULL,3,1,3,3,2,2,4,5,4,5,4,5,1,5,5,4,1,1,4,4,4,6,5,5,5,4,5,1,4,4
hcw_8789,376,Uganda,27,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,2
hcw_8790,377,Uganda,33,2,3,NULL,NULL,2,Mid Northern,1,7,None,10,1,1,NULL,2,2,3,2,6,6,7,7,5,6,6,7,1,7,5,5,5,5,5,6,6,7,7,7,2,1,5,2,2,2
hcw_8791,378,Uganda,30,2,2,NULL,NULL,1,Central 1,1,2,NULL,1,NULL,1,NULL,1,1,1,2,1,4,3,1,1,1,3,1,5,1,3,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1
hcw_8792,379,Uganda,48,1,3,NULL,NULL,5,Central 1,1,2,NULL,8,1,1,NULL,3,2,2,2,1,1,1,7,1,1,2,7,6,7,1,6,1,1,7,7,7,7,7,7,7,1,1,6,6,2
hcw_8793,380,Uganda,48,1,3,NULL,NULL,5,Central 1,1,2,NULL,8,1,1,NULL,3,2,2,2,1,1,1,7,1,1,2,7,6,7,1,6,1,1,7,7,7,7,7,7,7,1,1,6,6,2
hcw_8794,381,Uganda,26,2,1,NULL,NULL,6,Central 1,1,7,Laboratory Technician,10,1,1,NULL,2,2,2,2,6,2,6,2,2,6,6,6,2,6,2,6,2,6,7,7,7,6,2,6,2,2,2,6,1,1
hcw_8795,382,Uganda,28,2,3,NULL,NULL,1,Central 1,1,9,NULL,12,NULL,1,NULL,2,2,2,2,2,2,1,1,1,2,2,2,2,2,6,6,2,1,6,6,6,6,2,2,2,2,2,2,3,3
hcw_8796,383,Uganda,25,2,3,NULL,NULL,1,Central 1,1,9,NULL,12,NULL,1,NULL,2,2,2,2,2,2,1,1,1,2,2,2,2,2,6,6,2,1,6,6,6,6,2,2,2,2,2,2,3,3
